|time|     fromM      |            In            |Reset|       toM       |writeM |    addressM    |     PCOut      |RAM32K[1]|RAM32K[2]|RAM32K[3]|RAM32K[4]|RAM32K[5]|RAM32K[6]|RAM32K[7]|
|0   |               0|          0001000001111111|  0  |                0|   0   |               0|               0|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|0+  |               0|          0001000001111111|  0  |                0|   0   |               0|               0|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|1   |               0|          0001100001000001|  0  |                0|   0   |               0|               1|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|1+  |               0|          0001100001000001|  0  |                0|   0   |               0|               1|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|2   |               0|          0011101010000001|  0  |                0|   0   |               0|               2|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|2+  |               0|          0011101010000001|  0  |                0|   0   |               0|               2|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|3   |               0|          0000110001010111|  0  |                0|   0   |               0|               3|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|3+  |               0|          0000110001010111|  0  |                0|   0   |               0|               3|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|4   |               0|          0000111001011111|  0  |                0|   0   |               0|               4|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|4+  |               0|          0000111001011111|  0  |                0|   0   |               0|               4|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|5   |               0|          0000000000000000|  0  |               63|   0   |              63|               5|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|5+  |               0|          0000000000000000|  0  |               63|   0   |              63|               5|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|6   |               0|          0000000000000000|  0  |              126|   0   |             126|               6|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|6+  |               0|          0000000000000000|  0  |              126|   0   |             126|               6|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|7   |               0|          0000000000000000|  0  |              252|   0   |             252|               7|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|7+  |               0|          0000000000000000|  0  |              252|   0   |             252|               7|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|8   |               0|          0000000000000000|  0  |              504|   0   |             504|               8|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|8+  |               0|          0000000000000000|  0  |              504|   0   |             504|               8|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|9   |               0|          0000000000000000|  0  |             1008|   0   |            1008|               9|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|9+  |               0|          0000000000000000|  0  |             1008|   0   |            1008|               9|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|10  |               0|          0000000000000000|  0  |             2016|   0   |            2016|              10|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|10+ |               0|          0000000000000000|  0  |             2016|   0   |            2016|              10|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|11  |               0|          0000000000000000|  0  |             4032|   0   |            4032|              11|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|11+ |               0|          0000000000000000|  0  |             4032|   0   |            4032|              11|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
|12  |               0|          0000000000000000|  0  |             8064|   0   |            8064|              12|   32767 |  -32768 |  -32767 |       0 |       0 |       0 |       0 |
