|  RAM[0]  |  RAM[1]  |  RAM[2]  |
|       9  |       6  |       3  |
|      11  |      21  |       1  |
|      18  |      66  |       6  |
|     100  |      25  |      25  |
|      49  |      14  |       7  |
|      56  |      98  |      14  |
|     123  |     456  |       3  |
|     512  |    1024  |     512  |
|      15  |      35  |       5  |
|     101  |     103  |       1  |
|       7  |       7  |       7  |
|      13  |      17  |       1  |
|   32767  |   32767  |   32767  |
|       1  |   32767  |       1  |
|       1  |       1  |       1  |
