|  RAM[0]  |  RAM[1]  |  RAM[2]  |  RAM[3]  |  RAM[4]  |  RAM[5]  |  RAM[6]  |
|   12121  |       1  |       1  |       2  |       1  |       2  |       1  |
|   12345  |       0  |       5  |       4  |       3  |       2  |       1  |
|   30603  |       1  |       3  |       0  |       6  |       0  |       3  |
|   10211  |       0  |       1  |       1  |       2  |       0  |       1  |
|   10001  |       1  |       1  |       0  |       0  |       0  |       1  |
|   10000  |       0  |       0  |       0  |       0  |       0  |       1  |
|   11111  |       1  |       1  |       1  |       1  |       1  |       1  |
|   12321  |       1  |       1  |       2  |       3  |       2  |       1  |
|   10001  |       1  |       1  |       0  |       0  |       0  |       1  |
|   12021  |       1  |       1  |       2  |       0  |       2  |       1  |
|   10002  |       0  |       2  |       0  |       0  |       0  |       1  |
|       0  |       1  |       0  |       0  |       0  |       0  |       0  |
