|time|     fromM      |            In            |Reset|       toM       |writeM |    addressM    |     PCOut      |
|0+  |               0|          0001000001000111|  0  |                0|   0   |               0|               0|
|1   |               0|          0001000001000111|  0  |                0|   0   |               0|               1|
|1+  |               0|          0000001000000111|  0  |                7|   0   |               7|               1|
|2   |               0|          0000001000000111|  0  |                7|   0   |               7|               2|
|2+  |               0|          1010000001111111|  0  |               14|   1   |               7|               2|
|3   |               0|          1010000001111111|  0  |               14|   1   |               7|               3|
|3+  |              14|          1000110000111111|  0  |                7|   0   |               7|               3|
|4   |              14|          1000110000111111|  0  |                7|   0   |               7|               4|
|4+  |              14|          0010001110000111|  0  |               14|   0   |              14|               4|
|5   |              14|          0010001110000111|  0  |               14|   0   |               7|               5|
|5+  |              14|          1010000001111111|  0  |                7|   1   |               7|               5|
|6   |              14|          1010000001111111|  0  |                7|   1   |               7|               6|
|6+  |               7|          1000110000111111|  0  |                7|   0   |               7|               6|
|7   |               7|          1000110000111111|  0  |                7|   0   |               7|               7|
|7+  |               7|          0011001110000111|  0  |                7|   0   |               0|               7|
|8   |               7|          0011001110000111|  0  |                7|   0   |               0|               8|
|8+  |               7|          1010000001111111|  0  |                0|   1   |               7|               8|
|9   |               7|          1010000001111111|  0  |                0|   1   |               7|               9|
|9+  |               7|          0101001001001111|  0  |                0|   0   |               0|               9|
|10  |               7|          0101001001001111|  0  |               -1|   0   |               0|              10|
|10+ |               7|          1010000001111111|  0  |               -1|   1   |               7|              10|
|11  |               7|          1010000001111111|  0  |               -1|   1   |               7|              11|
|11+ |               7|          0111001001001111|  0  |               -1|   0   |               0|              11|
|12  |               7|          0111001001001111|  0  |                0|   0   |               0|              12|
|12+ |               7|          1010000001111111|  0  |                0|   1   |               7|              12|
|13  |               7|          1010000001111111|  0  |                0|   1   |               7|              13|
|13+ |             221|          1000001100000011|  0  |                0|   0   |               0|              13|
|14  |             221|          1000001100000011|  0  |                0|   0   |               0|              14|
|14+ |               0|          1000011010000011|  0  |                0|   0   |               0|              14|
|15  |               0|          1000011010000011|  0  |                0|   0   |               0|              15|
|15+ |               0|          1001001011000111|  0  |                0|   0   |               0|              15|
|16  |               0|          1001001011000111|  0  |                0|   0   |               0|             221|
|16+ |               0|          1001011001000111|  0  |              221|   0   |               0|             221|
|17  |               0|          1001011001000111|  0  |              221|   0   |               0|             222|
|17+ |             312|          1000101101000011|  0  |                0|   0   |               0|             222|
|18  |             312|          1000101101000011|  0  |              312|   0   |             312|             223|
|18+ |             312|          1011101000000000|  0  |                7|   0   |               0|             223|
|19  |             312|          1011101000000000|  0  |                7|   0   |               0|             312|
|19+ |          -32768|          1000000111000000|  0  |                0|   0   |               0|             312|
|20  |          -32768|          1000000111000000|  0  |                0|   0   |               0|             313|
|20+ |          -32768|          1100000000000000|  0  |           -32768|   1   |          -32768|             313|
|21  |          -32768|          1100000000000000|  0  |           -32768|   1   |          -32768|             314|
|22+ |              65|          1010110110000000|  0  |               65|   1   |              65|             315|
|23  |              65|          1010110110000000|  0  |               65|   1   |              65|             316|
|24  |              65|          0000000000000000|  1  |                0|   0   |               0|               0|
|25+ |              65|          0110010000001000|  0  |                0|   0   |          -24576|               1|
|26  |              65|          0110010000001000|  0  |                0|   0   |          -24576|               2|
|26+ |              65|          1010000000101111|  0  |                0|   1   |               0|               2|
|27  |              65|          1010000000101111|  0  |                0|   1   |               0|               3|
|27+ |              45|          1001000100101111|  0  |                0|   0   |               0|               3|
|28  |              45|          1001000100101111|  0  |                0|   0   |               0|               0|
|28+ |             128|          1011100110000000|  0  |               65|   0   |               0|               0|
|29  |             128|          1011100110000000|  0  |               65|   0   |               0|               0|
|29+ |             123|          1110010000000000|  0  |                0|   0   |          -24576|               0|
|30  |             123|          1110010000000000|  0  |                0|   0   |          -24576|               1|
|30+ |             123|          1100001010001111|  0  |              123|   1   |             221|               1|
|31  |             123|          1100001010001111|  0  |              123|   1   |             221|               2|
|31+ |             123|          1100001010001111|  1  |              123|   1   |             221|               2|
|32  |             123|          1100001010001111|  1  |              123|   1   |             221|               0|
|32+ |             123|          1100001010001111|  0  |              123|   1   |             221|               0|
|33  |             123|          1100001010001111|  0  |              123|   1   |             221|               1|
