|   in   |load |     address      |       out        |
|     -1 |  1  | 0000000000000000 |                0 |
|     -1 |  1  | 0000000000000000 |               -1 |
|      2 |  0  | 0000000000000000 |               -1 |
|      2 |  0  | 0000000000000000 |               -1 |
|      2 |  1  | 0000000000000000 |               -1 |
|      2 |  1  | 0000000000000000 |                2 |
|      0 |  0  | 0000000000000000 |                2 |
|      0 |  0  | 0000000000000000 |                2 |
|     -1 |  1  | 1000000000000000 |                0 |
|     -1 |  1  | 1000000000000000 |               -1 |
|     -1 |  1  | 1010000000000000 |                0 |
|     -1 |  1  | 1010000000000000 |                0 |
