| time |   in   |load |  out   |
| 0+   |      0 |  0  |      0 |
| 1    |      0 |  0  |      0 |
| 1+   |      0 |  1  |      0 |
| 2    |      0 |  1  |      0 |
| 2+   |    127 |  0  |      0 |
| 3    |    127 |  0  |      0 |
| 3+   |    127 |  0  |      0 |
| 4    |    127 |  0  |      0 |
| 4+   |    255 |  1  |      0 |
| 5    |    255 |  1  |    255 |
| 5+   |    121 |  1  |    255 |
| 6    |    121 |  1  |    121 |
| 6+   |      0 |  0  |    121 |
| 7    |      0 |  0  |    121 |
| 7+   |      0 |  1  |    121 |
| 8    |      0 |  1  |      0 |
